"15,11","15,11"
"22,52","22,52"
"35,99","35,99"
"67,11","67,11"
"72,59","72,59"
"20,86","20,86"
"77,15","77,15"
"69,74","69,74"
"14,64","14,64"
"12,36","12,36"
"94,62","94,62"
"47,07","47,07"
"26,28","26,28"
"33,68","33,68"
"59,5","59,5"
"15,32","15,32"
"2,32","2,32"
"0,62","0,62"
"24,91","24,91"
"97,01","97,01"
"78,99","78,99"
"82,38","82,38"
"90,69","90,69"
"39,77","39,77"
"19,96","19,96"
"95,53","95,53"
"54,91","54,91"
"3,16","3,16"
"21,54","21,54"
"39,63","39,63"
"85,25","85,25"
"62,91","62,91"
"92,51","92,51"
"89,88","89,88"
"34,48","34,48"
"3,8","3,8"
"59,46","59,46"
"2,36","2,36"
"75,38","75,38"
"48,37","48,37"
"48,83","48,83"
"88,45","88,45"
"26,76","26,76"
"99,18","99,18"
"21,96","21,96"
"40,54","40,54"
"67,78","67,78"
"51,26","51,26"
"95,86","95,86"
"22,52","22,52"
